Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
172,1,4.7367248932123,0,24.966589037735,0,0,0,0,0,34.706648127784,0,0,145.374538128583,0.0603766016276792,0,0,0,0,64.0473087394265
173,1,4.64442107213073,0,24.8085638454901,0,0,0,0,0,34.3895007670331,0,0,144.611366164775,0.0543389414649113,0,0,0,0,63.4984431237924
174,1,4.5555473088697,0,24.6516950874111,0,0,0,0,0,34.0800256018414,0,0,143.855884928064,0.0489050473184202,0,0,0,0,62.9615568661534
175,1,4.46996826036503,0,24.4960448060583,0,0,0,0,0,33.7778317885545,0,0,143.108324496656,0.0440145425865782,0,0,0,0,62.4365971038664
176,1,4.38755190861445,0,24.3416611061667,0,0,0,0,0,33.4825456704301,0,0,142.368815751668,0.0396130883279203,0,0,0,0,61.9234540914994
177,1,4.30816969524609,0,24.1885808455887,0,0,0,0,0,33.1938132444092,0,0,141.637410636717,0.0356517794951283,0,0,0,0,61.4219714046277
178,1,4.23169679239458,0,24.0368329491588,0,0,0,0,0,32.911303217621,0,0,140.914104858929,0.0320866015456155,0,0,0,0,60.9319570033719
179,1,4.15801247949829,0,23.8864422004488,0,0,0,0,0,32.6347104947224,0,0,140.198862457561,0.0288779413910539,0,0,0,0,60.4531949327333
180,1,4.08700060131749,0,23.7374334011789,0,0,0,0,0,32.3637599844665,0,0,139.491641839638,0.0259901472519485,0,0,0,0,59.9854575047974
181,1,4.01854973463469,0,23.5898333064102,0,0,0,0,0,32.0982073668959,0,0,138.792407775649,0.0233911325267537,0,0,0,0,59.5285116651431
182,1,3.95255318212937,0,23.443671188393,0,0,0,0,0,31.8378379907856,0,0,138.101134795424,0.0210520192740783,0,0,0,0,59.0821217801024
183,1,3.88890886414526,0,23.2989785671666,0,0,0,0,0,31.5824646474492,0,0,137.417805497356,0.0189468173466705,0,0,0,0,58.6460502889552
184,1,3.82751915263956,0,23.1557884655871,0,0,0,0,0,31.3319247226103,0,0,136.742406141985,0.0170521356120034,0,0,0,0,58.2200571949931
185,1,3.76829067700727,0,23.0141344413993,0,0,0,0,0,31.0860770839555,0,0,136.074921204175,0.0153469220508031,0,0,0,0,57.8038990816489
186,1,3.71113412338823,0,22.8740495861059,0,0,0,0,0,30.8447989741223,0,0,135.415328116735,0.0138122298457228,0,0,0,0,57.3973281566032
187,1,3.65596404255086,0,22.7355656267554,0,0,0,0,0,30.6079831038278,0,0,134.76359305764,0.0124310068611505,0,0,0,0,57.0000916688149
188,1,3.60269867743037,0,22.5987122304886,0,0,0,0,0,30.3755350881157,0,0,134.11966836682,0.0111879061750355,0,0,0,0,56.6119319326092
189,1,3.55125979592246,0,22.4635164170643,0,0,0,0,0,30.1473711115402,0,0,133.483490950835,0.0100691155575319,0,0,0,0,56.2325866941182
190,1,3.50157252384748,0,22.3300020435728,0,0,0,0,0,29.9234157824796,0,0,132.854981373239,0.00906220400177872,0,0,0,0,55.8617897128875
