Time,Patch,WWWW,WWWR,WWWB,WWRR,WWRB,WWBB,WHWW,WHWR,WHWB,WHRR,WHRB,WHBB,HHWW,HHWR,HHWB,HHRR,HHRB,HHBB
194,1,2.67594157688695,0,18.0114463130571,0,0,0,0,0,25.4332621259842,0,0,125.23520576207,0.00594571204556702,0,0,0,0,52.9506377874696
195,1,2.63650629781995,0,17.8967748274443,0,0,0,0,0,25.2319313843246,0,0,124.570067399802,0.00535114084101032,0,0,0,0,52.5868189915261
196,1,2.59844719005444,0,17.7835801803925,0,0,0,0,0,25.0343232329761,0,0,123.912954198455,0.00481602675690929,0,0,0,0,52.2302956879639
197,1,2.56170371684652,0,17.6718677114562,0,0,0,0,0,24.840386848171,0,0,123.263578082341,0.00433442408121836,0,0,0,0,51.8807671694785
198,1,2.52621797891976,0,17.5616387380054,0,0,0,0,0,24.6500705084739,0,0,122.621656697484,0.00390098167309652,0,0,0,0,51.5379416381264
199,1,2.49193466691464,0,17.45289120131,0,0,0,0,0,24.463321800669,0,0,121.986918601041,0.00351088350578687,0,0,0,0,51.2015385556169
200,1,2.45880101147967,0,17.3456202924445,0,0,0,0,0,24.2800878671169,0,0,121.359107819984,0.00315979515520818,0,0,0,0,50.8712906588369
201,1,2.42676672643378,0,17.2398190128197,0,0,0,0,0,24.1003156289756,0,0,120.737987488496,0.00284381563968737,0,0,0,0,50.5469455277584
202,1,2.39578394343319,0,17.1354786493807,0,0,0,0,0,23.9239519542075,0,0,120.123342463964,0.00255943407571863,0,0,0,0,50.2282666713149
203,1,2.36580713836604,0,17.0325891604696,0,0,0,0,0,23.7509437611268,0,0,119.514980942484,0.00230349066814677,0,0,0,0,49.9150341465834
204,1,2.33679305080727,0,16.9311394789425,0,0,0,0,0,23.5812380627627,0,0,118.912735174568,0.00207314160133209,0,0,0,0,49.607044759282
205,1,2.30870059847776,0,16.8311177456371,0,0,0,0,0,23.4147819662739,0,0,118.316461429766,0.00186582744119888,0,0,0,0,49.3041119131456
206,1,2.28149078897362,0,16.732511490253,0,0,0,0,0,23.2515226471548,0,0,117.726039386782,0.00167924469707899,0,0,0,0,49.0060651869011
207,1,2.25512662985447,0,16.6353077681674,0,0,0,0,0,23.091407306468,0,0,117.141371062262,0.00151132022737109,0,0,0,0,48.7127496915099
208,1,2.22957303767563,0,16.5394932582263,0,0,0,0,0,22.9343831147236,0,0,116.562379363001,0.00136018820463398,0,0,0,0,48.4240252484653
209,1,2.20479674633088,0,16.4450543251319,0,0,0,0,0,22.7803971442227,0,0,115.98900633177,0.00122416938417059,0,0,0,0,48.1397654236079
210,1,2.18076621495432,0,16.351977049269,0,0,0,0,0,22.6293962907152,0,0,115.421211146411,0.00110175244575353,0,0,0,0,47.8598564461603
211,1,2.1574515356955,0,16.2602472274068,0,0,0,0,0,22.4813271861101,0,0,114.858967930836,0.000991577201178175,0,0,0,0,47.5841960417263
212,1,2.1348243419185,0,16.1698503496277,0,0,0,0,0,22.3361361066433,0,0,114.302263444932,0.000892419481060357,0,0,0,0,47.3126922108643
213,1,2.11285771772488,0,16.0807715606594,0,0,0,0,0,22.1937688847917,0,0,113.75109473541,0.000803177532954321,0,0,0,0,47.0452619903671
214,1,2.09152611010376,0,15.9929956170528,0,0,0,0,0,22.0541708377119,0,0,113.205466848149,0.000722859779658889,0,0,0,0,46.7818302413524
215,1,2.07080524530383,0,15.9065068540267,0,0,0,0,0,21.9172867282441,0,0,112.665390715101,0.000650573801693,0,0,0,0,46.5223285127906
216,1,2.05067205123452,0,15.8212891775247,0,0,0,0,0,21.7830607769196,0,0,112.130881337185,0.0005855164215237,0,0,0,0,46.2666940319908
217,1,2.0311045861475,0,15.7373260840287,0,0,0,0,0,21.6514367258046,0,0,111.601956287856,0.00052696477937133,0,0,0,0,46.0148688338044
218,1,2.01208197312501,0,15.6546007044246,0,0,0,0,0,21.5223579466138,0,0,111.07863451415,0.000474268301434197,0,0,0,0,45.7667990204799
219,1,1.99358433962242,0,15.5730958656681,0,0,0,0,0,21.3957675821963,0,0,110.560935391112,0.000426841471290778,0,0,0,0,45.5224341352928
220,1,1.97559276127118,0,15.4927941634857,0,0,0,0,0,21.2716087099197,0,0,110.048877979715,0.0003841573241617,0,0,0,0,45.2817266304126
221,1,1.95808920923134,0,15.413678039931,0,0,0,0,0,21.1498245164347,0,0,109.54248044095,0.00034574159174553,0,0,0,0,45.0446314102672
222,1,1.94105650053032,0,15.3357298608259,0,0,0,0,0,21.0303584751024,0,0,109.041759566237,0.000311167432570977,0,0,0,0,44.8111054344812
223,1,1.92447825099732,0,15.2589319895973,0,0,0,0,0,20.9131545195507,0,0,108.546730394151,0.000280050689313879,0,0,0,0,44.5811073682743
224,1,1.90833883057805,0,15.1832668555864,0,0,0,0,0,20.7981572091424,0,0,108.057405894212,0.000252045620382491,0,0,0,0,44.3545972724441
225,1,1.8926233208791,0,15.1087170155785,0,0,0,0,0,20.6853118832287,0,0,107.573796703091,0.000226841058344242,0,0,0,0,44.131536326803
226,1,1.87731747480918,0,15.0352652075962,0,0,0,0,0,20.5745648016648,0,0,107.09591090068,0.000204156952509818,0,0,0,0,43.9118865817236
