"Time","WWWWWW","WWWWRW","WWWWBW","WWWWRR","WWWWBR","WWWWBB","CWWWWW","CWWWRW","CWWWBW","CWWWRR","CWWWBR","CWWWBB","WGWWWW","WGWWRW","WGWWBW","WGWWRR","WGWWBR","WGWWBB","CGWWWW","CGWWRW","CGWWBW","CGWWRR","CGWWBR","CGWWBB","CWCWWW","CWCWRW","CWCWBW","CWCWRR","CWCWBR","CWCWBB","CWWGWW","CWWGRW","CWWGBW","CWWGRR","CWWGBR","CWWGBB","CGCWWW","CGCWRW","CGCWBW","CGCWRR","CGCWBR","CGCWBB","WGWGWW","WGWGRW","WGWGBW","WGWGRR","WGWGBR","WGWGBB","CGWGWW","CGWGRW","CGWGBW","CGWGRR","CGWGBR","CGWGBB","CGCGWW","CGCGRW","CGCGBW","CGCGRR","CGCGBR","CGCGBB"
42,161.11079151083,0,0.15278054945331,0,0,0,0,0,0.15278054945331,0,0,0,0,0,0.15278054945331,0,0,0.343185056144751,0,0,122.373165465495,0,0,1.23247822578305,0,0,0,0,0,0,0,0,0,0,0,0.0085001487690702,0,0,0,0,0,0.897793318407372,0,0,0,0,0,0.0042500743845351,0,0,0,0,0,0.897793318407372,0,0,0,0,0,0.893543244022838
43,156.265108914631,0,0.234276348204942,0,0,0,0,0,0.234276348204942,0,0,0,0,0,0.234276348204942,0,0,0.503480886391088,0,0,125.326615553148,0,0,1.79593216717858,0,0,0,0,0,0,0,0,0,0,0,0.0161604046368489,0,0,0,0,0,1.30861168542434,0,0,0,0,0,0.00808020231842447,0,0,0,0,0,1.30861168542434,0,0,0,0,0,1.30053148310591
44,151.493976228616,0,0.339110536206422,0,0,0,0,0,0.339110536206422,0,0,0,0,0,0.339110536206422,0,0,0.699244874484185,0,0,127.786456876827,0,0,2.45130075021783,0,0,0,0,0,0,0,0,0,0,0,0.0278899933505475,0,0,0,0,0,1.7799458690842,0,0,0,0,0,0.0139449966752738,0,0,0,0,0,1.7799458690842,0,0,0,0,0,1.76600087240892
45,146.843637767083,0,0.469032636738475,0,0,0,0,0,0.469032636738475,0,0,0,0,0,0.469032636738475,0,0,0.930079997751734,0,0,129.748141337583,0,0,3.18446958699121,0,0,0,0,0,0,0,0,0,0,0,0.0446349742953424,0,0,0,0,0,2.29902456353482,0,0,0,0,0,0.0223174871476712,0,0,0,0,0,2.29902456353482,0,0,0,0,0,2.27670707638715
46,142.353315442205,0,0.625351646935095,0,0,0,0,0,0.625351646935095,0,0,0,0,0,0.625351646935095,0,0,1.19462244184568,0,0,131.221757929587,0,0,3.9797132947139,0,0,0,0,0,0,0,0,0,0,0,0.0672429618810063,0,0,0,0,0,2.85233381474922,0,0,0,0,0,0.0336214809405032,0,0,0,0,0,2.85233381474922,0,0,0,0,0,2.81871233380872
47,138.016877711118,0,0.809379870430853,0,0,0,0,0,0.809379870430853,0,0,0,0,0,0.809379870430853,0,0,1.49893949207321,0,0,132.177169332475,0,0,4.84166156552842,0,0,0,0,0,0,0,0,0,0,0,0.0976537870989553,0,0,0,0,0,3.44037586055417,0,0,0,0,0,0.0488268935494777,0,0,0,0,0,3.44037586055417,0,0,0,0,0,3.3915489670047
48,133.829671482104,0,1.02197402708905,0,0,0,0,0,1.02197402708905,0,0,0,0,0,1.02197402708905,0,0,1.84665235039199,0,0,132.610655982429,0,0,5.76830380377051,0,0,0,0,0,0,0,0,0,0,0,0.137840568144351,0,0,0,0,0,4.05949202152286,0,0,0,0,0,0.0689202840721757,0,0,0,0,0,4.05949202152286,0,0,0,0,0,3.99057173745069
49,129.458710214681,0,1.22534824432738,0,0,0,0,0,1.22534824432738,0,0,0,0,0,1.22534824432738,0,0,2.17715425778015,0,0,132.930384981563,0,0,6.77578160623715,0,0,0,0,0,0,0,0,0,0,0,0.179773917486143,0,0,0,0,0,4.77840126594314,0,0,0,0,0,0.0898869587430714,0,0,0,0,0,4.77840126594314,0,0,0,0,0,4.68851430720007
50,124.986354023259,0,1.4246174163589,0,0,0,0,0,1.4246174163589,0,0,0,0,0,1.4246174163589,0,0,2.49879216339998,0,0,133.079083697035,0,0,7.85184360773621,0,0,0,0,0,0,0,0,0,0,0,0.225384315865895,0,0,0,0,0,5.57843576020212,0,0,0,0,0,0.112692157932947,0,0,0,0,0,5.57843576020212,0,0,0,0,0,5.46574360226918
51,120.482850963398,0,1.62425217031406,0,0,0,0,0,1.62425217031406,0,0,0,0,0,1.62425217031406,0,0,2.8182646073084,0,0,133.024459440837,0,0,8.9821812770396,0,0,0,0,0,0,0,0,0,0,0,0.276444860875248,0,0,0,0,0,6.44036153060645,0,0,0,0,0,0.138222430437624,0,0,0,0,0,6.44036153060645,0,0,0,0,0,6.30213910016882
52,116.007717042339,0,1.82815853851628,0,0,0,0,0,1.82815853851628,0,0,0,0,0,1.82815853851628,0,0,3.14078296257152,0,0,132.752578788282,0,0,10.1513223826332,0,0,0,0,0,0,0,0,0,0,0,0.334523090215552,0,0,0,0,0,7.34506251027722,0,0,0,0,0,0.167261545107776,0,0,0,0,0,7.34506251027722,0,0,0,0,0,7.17780096516944
53,111.609722702859,0,2.03967622807087,0,0,0,0,0,2.03967622807087,0,0,0,0,0,2.03967622807087,0,0,3.47009911041927,0,0,132.260190321648,0,0,11.3429281032118,0,0,0,0,0,0,0,0,0,0,0,0.400915700505994,0,0,0,0,0,8.27374469329852,0,0,0,0,0,0.200457850252997,0,0,0,0,0,8.27374469329852,0,0,0,0,0,8.07328684304552
54,107.329165976153,0,2.26166205545942,0,0,0,0,0,2.26166205545942,0,0,0,0,0,2.26166205545942,0,0,3.80868603973347,0,0,131.55218752656,0,0,12.5405200734988,0,0,0,0,0,0,0,0,0,0,0,0.476607389134197,0,0,0,0,0,9.20844142289951,0,0,0,0,0,0.238303694567099,0,0,0,0,0,9.20844142289951,0,0,0,0,0,8.9701377283324
55,103.199478389311,0,2.49654899481336,0,0,0,0,0,2.49654899481336,0,0,0,0,0,2.49654899481336,0,0,4.15789347297039,0,0,130.63929855593,0,0,13.7280606079791,0,0,0,0,0,0,0,0,0,0,0,0.56223747215967,0,0,0,0,0,10.1324046071684,0,0,0,0,0,0.281118736079834,0,0,0,0,0,10.1324046071684,0,0,0,0,0,9.85128587108852
